Influencer,Username,Cidade,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
 Futrikei Oficial,,São Paulo,1,1,0,0,3913,35,91,"3,913",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.89%,,,,
 Gabrielle Cruz,,São Paulo, 1, 1,0,0,2495,109,7,"2,495",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.37%,,,,
 Gi Casares,,São Paulo, 0, 0,0,0,1043,25,8,"1,043",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.40%,,,,
 Giovanna Collares,,São Paulo, 0, 0,0,0,5083,37,119,"5,083",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.73%,,,,
 Gustavo Santana,,São Paulo,2,2,0,0,7816,343,97,"7,816",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.39%,,,,
 Heey Cat,,São Paulo,4,4,0,0,68284,175,167,"68,284",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.26%,,,,
 Heloisa Souza,,São Paulo,1,1,0,0,878,63,70,878,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.18%,,,,
 Isabella Félix,,São Paulo,2,2,0,0,157,7,129,157,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.46%,,,,
 Isadora Lara,,São Paulo,6,6,0,0,2169,129,67,"2,169",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.95%,,,,
 Kauana Hofemã,,São Paulo,2,2,0,0,392465,203,124,"392,465",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.05%,,,,
 Lipão,,São Paulo,2,2,0,0,911,41,64,911,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.50%,,,,
 Luana Chaves,,São Paulo,2,2,0,0,4233,192,96,"4,233",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.54%,,,,
 Luana Gandur,,São Paulo,2,2,0,0,1908,25,39,"1,908",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.31%,,,,
 Luane Veras,,São Paulo,7,7,0,0,3730,160,52,"3,730",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.29%,,,,
 Lucca Cardenette,,São Paulo,3,3,0,0,755,39,177,755,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.17%,,,,
 Maria Venture,,São Paulo,2,2,0,0,845368,326,74,"845,368",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.04%,,,,
 Marina Bardini,,São Paulo,2,2,0,0,1554,20,111,"1,554",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.29%,,,,
 Matheus Sicilia,,São Paulo,4,4,0,0,6360,248,132,"6,360",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.90%,,,,
 Maya Aniceto,,São Paulo,6,6,0,0,3852,197,134,"3,852",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.11%,,,,
 Mayara Pereira,,São Paulo,1,1,0,0,439,17,141,439,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.87%,,,,
 Milena Gomes,,São Paulo,1,1,0,0,862,26,35,862,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.02%,,,,
 Morccosa,,São Paulo,4,4,0,0,692,12,62,692,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.73%,,,,
 Murilox,,São Paulo,1,1,0,0,890,10,146,890,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.12%,,,,
 Nathália Do Val,,São Paulo,2,2,0,0,303,20,125,303,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.59%,,,,
 Nicole Limoli,,São Paulo,2,2,0,0,334,10,4,334,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.00%,,,,
 Pietro,,São Paulo,7,7,0,0,2574,185,144,"2,574",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.19%,,,,
 Rodrigo Vaisemberg,,São Paulo,8,8,0,0,24332,153,143,"24,332",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.63%,,,,
 Romulo deu Cria,,São Paulo,4,4,0,0,17902,336,92,"17,902",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.88%,,,,
 Ryan Oliveira,,São Paulo,2,2,0,0,1480,8,176,"1,480",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.54%,,,,
 Vitória Vinturini,,São Paulo,2,2,0,0,485,5,163,485,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.03%,,,,
 VKS Asuna,,São Paulo,7,7,0,0,1598,75,21,"1,598",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.69%,,,,
 Adalto Jr,,São Paulo,1,1,0,0,22913,84,153,"22,913",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.37%,,,,
 Ana Gabriela,,São Paulo,4,4,0,0,198472,54,5,"198,472",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.03%,,,,
 Anayê Maciel,,São Paulo,2,2,0,0,5121,303,53,"5,121",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.92%,,,,
 Andressa Alves,,São Paulo,1,1,0,0,9631,347,159,"9,631",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.60%,,,,
 Bárbara Tunes,,São Paulo,1,1,0,0,5266,19,158,"5,266",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.36%,,,,
 Camyla Xavier,,São Paulo,1,1,0,0,727,9,66,727,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.24%,,,,
 Dj Theo,,São Paulo,6,6,0,0,2719,56,59,"2,719",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.06%,,,,
 Faustino Marcelo,,São Paulo,1,1,0,0,6048,92,169,"6,048",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.52%,,,,
 Fernandinho BeatBox,,São Paulo,1,1,0,0,31151,317,140,"31,151",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.02%,,,,
 Gabi Lopes,,São Paulo,4,4,0,0,2931,50,121,"2,931",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.71%,,,,
 Gabriel Ximenez Trasatti,,São Paulo,3,3,0,0,4868,310,147,"4,868",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.37%,,,,
 Giulia Vincenzi,,São Paulo,2,2,0,0,415,9,156,145,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.17%,,,,
 GuiPrates | Tráfego Pago,,São Paulo,2,2,0,0,5871,213,101,"5,871",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.63%,,,,
 Iago Santos,,São Paulo,2,2,0,0,895,26,81,895,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.90%,,,,
 Isabella Donatto,,São Paulo,2,2,0,0,593,41,150,593,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.92%,,,,
 Jaqueline Bycie,,São Paulo,2,2,0,0,4949,266,27,"4,949",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.38%,,,,
 Joy Lima,,São Paulo,2,2,0,0,4032,69,41,"4,032",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.71%,,,,
 Júlia Vilaça,,São Paulo,2,2,0,0,39050,151,28,"39,050",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.39%,,,,
 Lenara Santos,,São Paulo,5,5,0,0,204,16,60,204,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.84%,,,,
 Lika,,São Paulo,2,2,0,0,3461,222,131,"3,461",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.41%,,,,
 Fael,,São Paulo,2,2,0,0,60227,128,48,"60,227",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.21%,,,,
 Lorena,,São Paulo,2,2,0,0,3227,254,50,"3,227",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.87%,,,,
 Lucca Cardenette,,São Paulo,2,2,0,0,1474,76,2,"1,474",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.15%,,,,
 Luck Biasi,,São Paulo,2,2,0,0,2261,105,82,"2,261",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.64%,,,,
 Marcelo Campos,,São Paulo,2,2,0,0,394,14,88,394,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.56%,,,,
 MC turtle,,São Paulo,2,2,0,0,6581,154,174,"6,581",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.34%,,,,
 Nick Roger,,São Paulo,2,2,0,0,18186,99,170,"18,186",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.54%,,,,
 Paloma Araújo,,São Paulo,2,2,0,0,2559,166,87,"2,559",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.49%,,,,
 Pedro Castaldelli,,São Paulo,2,2,0,0,1011,22,128,"1,011",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.18%,,,,
 Raísa Paula,,São Paulo,2,2,0,0,20365,243,104,"20,365",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.19%,,,,
 Rapha Alvez,,São Paulo,2,2,0,0,14636,126,13,"14,636",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.86%,,,,
 Raquel Awade,,São Paulo,2,2,0,0,15593,43,15,"15,593",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.28%,,,,
 Roberta Helena,,São Paulo,2,2,0,0,645,13,34,645,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.02%,,,,
 Rodrigo Vaisemberg,,São Paulo,2,2,0,0,43484,90,17,"43,484",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.21%,,,,
 Samia Ribeiro,,São Paulo,6,6,0,0,1212,10,57,"1,212",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.82%,,,,
 Sarah Sofhia,,São Paulo,10,10,0,0,5229,132,152,"5,229",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.52%,,,,
 Thais Heubel,,São Paulo,2,2,0,0,1397,6,86,"1,397",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.43%,,,,
 Tomim | Pollo,,São Paulo,2,2,0,0,3291,89,76,"3,291",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.70%,,,,
 Álec Guímel,,São Paulo,6,6,0,0,6888,328,85,"6,888",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.76%,,,,
 Aline Cybis,,São Paulo,2,2,0,0,654,97,161,654,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,14.83%,,,,
 Amanda Stefanone,,São Paulo,6,6,0,0,3907,24,61,"3,907",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.61%,,,,
 Anayê Maciel,,São Paulo,6,6,0,0,1834,64,58,"1,834",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.49%,,,,
 Anderson Oliveira,,São Paulo,2,2,0,0,4302,20,99,"4,302",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.46%,,,,
 Anna Arraes,,São Paulo,3,3,0,0,677,5,56,677,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.74%,,,,
 Arthur Bicalho,,São Paulo,2,2,0,0,8224,30,78,"8,224",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.36%,,,,
 Bárbara Tunes,,São Paulo,3,3,0,0,2430,231,108,"2,430",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,9.50%,,,,
 Bibi Tatto,,São Paulo,2,2,0,0,430346,229,63,"430,346",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.05%,,,,
 Brenda Duarte,,São Paulo,2,2,0,0,744,53,138,744,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.12%,,,,
 Breno Marinho,,São Paulo,2,2,0,0,4911,146,73,"4,911",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.97%,,,,
 Bruno Hazê,,São Paulo,2,2,0,0,5283,334,36,"5,283",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.32%,,,,
 Bruno Magri,,São Paulo,2,2,0,0,90697,172,172,"90,697",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.19%,,,,
 Bya Dantas Figueiredo,,São Paulo,2,2,0,0,674,9,1,674,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.34%,,,,
 Caio,,São Paulo,1,1,0,0,415,5,117,415,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.20%,,,,
 Camila Frúgoli,,São Paulo,1,1,0,0,373,24,22,373,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.44%,,,,
 Camis Alvarenga,,São Paulo,1,1,0,0,1886,50,98,"1,886",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.65%,,,,
 Carolina Tsuyami,,São Paulo,1,1,0,0,13839,337,84,"13,839",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.44%,,,,
 Cinthia Cruz,,São Paulo,1,1,0,0,761445,27,122,"761,445",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.00%,,,,
 Dai Azevedo,,São Paulo,1,1,0,0,1752,104,37,"1,752",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.93%,,,,
 Daiane Gomez,,São Paulo,1,1,0,0,252,8,165,252,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.17%,,,,
 DJ Emmie,,São Paulo,1,1,0,0,109,15,154,109,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,13.76%,,,,
 Dj Theo,,São Paulo,2,2,0,0,750,20,102,750,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.67%,,,,
 Ed Junior,,São Paulo,1,1,0,0,630,23,14,630,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.65%,,,,
 Edu Malvadão,,São Paulo,1,1,0,0,2364,12,55,"2,364",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.51%,,,,
 Fael,,São Paulo,1,1,0,0,2617,39,112,"2,617",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.49%,,,,
 Gabi Damiano,,São Paulo,1,1,0,0,1511,63,45,"1,511",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.17%,,,,
 Gabriel Rocha,,São Paulo,1,1,0,0,56671,257,83,"56,671",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.45%,,,,
 Gagui Tatto,,São Paulo,1,1,0,0,450,2,44,450,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.44%,,,,
 Gi Casares,,São Paulo,1,1,0,0,703,54,29,703,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.69%,,,,
 Giovanna Collares,,São Paulo,1,1,0,0,11197,198,133,"11,197",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.77%,,,,
 Gui Andrade,,São Paulo,1,1,0,0,1997,7,110,"1,997",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.35%,,,,
 Gui Taschetti,,São Paulo,1,1,0,0,9345,148,20,"9,345",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.58%,,,,
 Guilherme Bispo,,São Paulo,1,1,0,0,12203,322,175,"12,203",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.64%,,,,
 Gustavo Nascimeto,,São Paulo,2,2,0,0,685,50,100,685,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.30%,,,,
 Heey Cat,,São Paulo,1,1,0,0,103694,350,113,"103,694",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.34%,,,,
 Helen Mendes,,São Paulo,1,1,0,0,439,16,19,439,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.64%,,,,
 Hosana Menezes,,São Paulo,2,2,0,0,30881,62,32,"30,881",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.20%,,,,
 Iago Lesser,,São Paulo,1,1,0,0,42918,349,10,"42,918",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.81%,,,,
 Ingrid Loli,,São Paulo,1,1,0,0,3104,95,171,"3,104",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.06%,,,,
 Isa Rodrigues,,São Paulo,1,1,0,0,9252,60,47,"9,252",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.65%,,,,
 Isabella Donatto,,São Paulo,1,1,0,0,173,2,16,173,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.16%,,,,
 Isadora Lara,,São Paulo,3,3,0,0,24726,112,114,"24,726",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.45%,,,,
 Jessica Corrêa,,São Paulo,7,7,0,0,1423,19,106,"1,423",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.34%,,,,
 João Folsta,,São Paulo,1,1,0,0,56900,224,148,"56,900",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.39%,,,,
 Johnny,,São Paulo,1,1,0,0,21011,77,120,"21,011",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.37%,,,,
 Joyce Bitencourt,,São Paulo,2,2,0,0,1619,138,71,"1,619",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,8.52%,,,,
 Joyce Palmieri,,São Paulo,6,6,0,0,485,10,6,485,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.06%,,,,
 Juliana Müller Cristofoleti,,São Paulo,2,2,0,0,1445,2,80,"1,445",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.14%,,,,
 Karol Mello,,São Paulo,2,2,0,0,898,46,139,898,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.12%,,,,
 Kauana Hofemã,,São Paulo,4,4,0,0,41419,268,75,"41,419",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.65%,,,,
 Kymberly Monteiro,,São Paulo,2,2,0,0,35976,275,40,"35,976",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.76%,,,,
 Leo Conceição,,São Paulo,1,1,0,0,5653,297,137,"5,653",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.25%,,,,
 Loma Lisboa,,São Paulo,1,1,0,0,34290,147,118,"34,290",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.43%,,,,
 Lorena,,São Paulo,3,3,0,0,1232,10,42,"1,232",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.81%,,,,
 Lu Nogueira,,São Paulo,1,1,0,0,820,25,151,820,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.05%,,,,
 Luana Chaves,,São Paulo,2,2,0,0,9772,292,107,"9,772",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.99%,,,,
 Lucas Santarelli,,São Paulo,2,2,0,0,827,8,116,827,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.97%,,,,
 Luck Biasi,,São Paulo,2,2,0,0,730,25,11,730,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.43%,,,,
 Luís Gustavo,,São Paulo,4,4,0,0,3571,23,25,"3,571",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.64%,,,,
 Marcela Andrade,,São Paulo,2,2,0,0,1100,25,23,"1,100",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.27%,,,,
 Maria Venture,,São Paulo,1,1,0,0,57381,178,155,"57,381",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.31%,,,,
 Mariana jUNHO,,São Paulo,1,1,0,0,5669,9,65,"5,669",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.16%,,,,
 Mariela Ribeiro,,São Paulo,1,1,0,0,396,20,173,369,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.05%,,,,
 Mario Henrique,,São Paulo,1,1,0,0,143728,51,31,"143,728",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.04%,,,,
 Matheus Sicilia,,São Paulo,6,6,0,0,45222,15,142,"45,222",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.03%,,,,
 Mayara Mattar,,São Paulo,1,1,0,0,1467,122,126,"1,467",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,8.32%,,,,
 MC turtle,,São Paulo,1,1,0,0,4286,3,162,"4,286",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.07%,,,,
 Mirelle Silvestre,,São Paulo,1,1,0,0,1149,60,115,"1,149",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.22%,,,,
 Nick Roger,,São Paulo,1,1,0,0,37409,252,130,"37,409",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.67%,,,,
 Nicolas Barone,,São Paulo,3,3,0,0,14042,331,166,"14,042",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.36%,,,,
 Nicole Almozara,,São Paulo,2,2,0,0,9067,282,123,"9,067",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.11%,,,,
 Olavo Junqueira,,São Paulo,2,2,0,0,544,23,9,544,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.23%,,,,
 Pamella de Sousa,,São Paulo,1,1,0,0,390,13,68,390,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.34%,,,,
 Partiu Bar,,São Paulo,2,2,0,0,13845,207,3,"13,845",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.50%,,,,
 Patricia Campos,,São Paulo,1,1,0,0,2897,98,26,"2,897",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.38%,,,,
 Rafael Devecz,,São Paulo,1,1,0,0,11680,42,160,"11,680",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.36%,,,,
 Rafael Lopes,,São Paulo,2,2,0,0,435,15,30,435,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.45%,,,,
 Raísa Paula,,São Paulo,1,1,0,0,14727,247,93,"14,727",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.68%,,,,
 Roberta Helena,,São Paulo,1,1,0,0,525,13,164,525,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.48%,,,,
 Ryan Oliveira,,São Paulo,1,1,0,0,4525,330,46,"4,525",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.29%,,,,
 Sarina Nigri,,São Paulo,7,7,0,0,10901,277,127,"10,901",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.54%,,,,
 Sarinha Leitão,,São Paulo,1,1,0,0,539,23,178,539,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.27%,,,,
 Simone Siolin Sicilia,,São Paulo,3,3,0,0,1056,56,149,"1,056",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.30%,,,,
 Talita Graziela,,São Paulo,1,1,0,0,22909,133,89,"22,909",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.58%,,,,
 Thaiana Raad,,São Paulo,1,1,0,0,590,8,54,590,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.35%,,,,
 Victória Diniz,,São Paulo,3,3,0,0,287614,80,18,"287,614",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.03%,,,,
 Victoria Mezêncio,,São Paulo,2,2,0,0,7710,28,72,"7,710",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.36%,,,,
 Vilhena,,São Paulo,1,1,0,0,144587,73,77,"144,587",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.05%,,,,
 Vitor Comx,,São Paulo,1,1,0,0,4307,321,157,"4,307",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.45%,,,,
 Vitória Martins,,São Paulo,3,3,0,0,1685,29,136,"1,685",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.72%,,,,
 Waah,,São Paulo,1,1,0,0,36643,332,90,"36,643",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.91%,,,,
 Wentz,,São Paulo,2,2,0,0,583,41,38,583,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.03%,,,,
 Will Costa,,São Paulo,1,1,0,0,241,5,103,241,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.07%,,,,
 Yasmin Prearo,,São Paulo,1,1,0,0,452,10,79,452,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.21%,,,,
 Yung Jei,,São Paulo,2,2,0,0,3709,124,168,"3,709",R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.34%,,,,
