Influencer,Username,Cidade,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
 Faustino Marcelo,,São Paulo, 0, 0,0,0,5645,344,33,5645,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.09%,0,0,0,
 Fernandinho BeatBox,,São Paulo, 0, 0,0,0,70908,311,105,70908,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.44%,0,0,0,
 Futrikei Oficial,,São Paulo,1,1,0,0,3913,35,91,3913,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.89%,0,0,0,
 Gabrielle Cruz,,São Paulo, 1, 1,0,0,2495,109,7,2495,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.37%,0,0,0,
 Gi Casares,,São Paulo, 0, 0,0,0,1043,25,8,1043,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.40%,0,0,0,
 Giovanna Collares,,São Paulo, 0, 0,0,0,5083,37,119,5083,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.73%,0,0,0,
 Gustavo Santana,,São Paulo,2,2,0,0,7816,343,97,7816,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.39%,0,0,0,
 Heey Cat,,São Paulo,4,4,0,0,68284,175,167,68284,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.26%,0,0,0,
 Heloisa Souza,,São Paulo,1,1,0,0,878,63,70,878,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.18%,0,0,0,
 Isabella Félix,,São Paulo,2,2,0,0,157,7,129,157,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.46%,0,0,0,
 Isadora Lara,,São Paulo,6,6,0,0,2169,129,67,2169,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.95%,0,0,0,
 Kauana Hofemã,,São Paulo,2,2,0,0,392465,203,124,392465,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.05%,0,0,0,
 Lipão,,São Paulo,2,2,0,0,911,41,64,911,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.50%,0,0,0,
 Luana Chaves,,São Paulo,2,2,0,0,4233,192,96,4233,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.54%,0,0,0,
 Luana Gandur,,São Paulo,2,2,0,0,1908,25,39,1908,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.31%,0,0,0,
 Luane Veras,,São Paulo,7,7,0,0,3730,160,52,3730,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.29%,0,0,0,
 Lucca Cardenette,,São Paulo,3,3,0,0,755,39,177,755,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.17%,0,0,0,
 Maria Venture,,São Paulo,2,2,0,0,845368,326,74,845368,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.04%,0,0,0,
 Marina Bardini,,São Paulo,2,2,0,0,1554,20,111,1554,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.29%,0,0,0,
 Matheus Sicilia,,São Paulo,4,4,0,0,6360,248,132,6360,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.90%,0,0,0,
 Maya Aniceto,,São Paulo,6,6,0,0,3852,197,134,3852,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.11%,0,0,0,
 Mayara Pereira,,São Paulo,1,1,0,0,439,17,141,439,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.87%,0,0,0,
 Milena Gomes,,São Paulo,1,1,0,0,862,26,35,862,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.02%,0,0,0,
 Morccosa,,São Paulo,4,4,0,0,692,12,62,692,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.73%,0,0,0,
 Murilox,,São Paulo,1,1,0,0,890,10,146,890,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.12%,0,0,0,
 Nathália Do Val,,São Paulo,2,2,0,0,303,20,125,303,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.59%,0,0,0,
 Nicole Limoli,,São Paulo,2,2,0,0,334,10,4,334,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.00%,0,0,0,
 Pietro,,São Paulo,7,7,0,0,2574,185,144,2574,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.19%,0,0,0,
 Rodrigo Vaisemberg,,São Paulo,8,8,0,0,24332,153,143,24332,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.63%,0,0,0,
 Romulo deu Cria,,São Paulo,4,4,0,0,17902,336,92,17902,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.88%,0,0,0,
 Ryan Oliveira,,São Paulo,2,2,0,0,1480,8,176,1480,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.54%,0,0,0,
 Vitória Vinturini,,São Paulo,2,2,0,0,485,5,163,485,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.03%,0,0,0,
 VKS Asuna,,São Paulo,7,7,0,0,1598,75,21,1598,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.69%,0,0,0,
 Adalto Jr,,São Paulo,1,1,0,0,22913,84,153,22913,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.37%,0,0,0,
 Ana Gabriela,,São Paulo,4,4,0,0,198472,54,5,198472,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.03%,0,0,0,
 Anayê Maciel,,São Paulo,2,2,0,0,5121,303,53,5121,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.92%,0,0,0,
 Andressa Alves,,São Paulo,1,1,0,0,9631,347,159,9631,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.60%,0,0,0,
 Bárbara Tunes,,São Paulo,1,1,0,0,5266,19,158,5266,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.36%,0,0,0,
 Camyla Xavier,,São Paulo,1,1,0,0,727,9,66,727,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.24%,0,0,0,
 Dj Theo,,São Paulo,6,6,0,0,2719,56,59,2719,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.06%,0,0,0,
 Faustino Marcelo,,São Paulo,1,1,0,0,6048,92,169,6048,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.52%,0,0,0,
 Fernandinho BeatBox,,São Paulo,1,1,0,0,31151,317,140,31151,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.02%,0,0,0,
 Gabi Lopes,,São Paulo,4,4,0,0,2931,50,121,2931,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.71%,0,0,0,
 Gabriel Ximenez Trasatti,,São Paulo,3,3,0,0,4868,310,147,4868,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.37%,0,0,0,
 Giulia Vincenzi,,São Paulo,2,2,0,0,415,9,156,415,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.17%,0,0,0,
 GuiPrates | Tráfego Pago,,São Paulo,2,2,0,0,5871,213,101,5871,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.63%,0,0,0,
 Iago Santos,,São Paulo,2,2,0,0,895,26,81,895,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.90%,0,0,0,
 Isabella Donatto,,São Paulo,2,2,0,0,593,41,150,593,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.92%,0,0,0,
 Jaqueline Bycie,,São Paulo,2,2,0,0,4949,266,27,4949,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.38%,0,0,0,
 Joy Lima,,São Paulo,2,2,0,0,4032,69,41,4032,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.71%,0,0,0,
 Júlia Vilaça,,São Paulo,2,2,0,0,39050,151,28,39050,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.39%,0,0,0,
 Lenara Santos,,São Paulo,5,5,0,0,204,16,60,204,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.84%,0,0,0,
 Lika,,São Paulo,2,2,0,0,3461,222,131,3461,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.41%,0,0,0,
 Fael,,São Paulo,2,2,0,0,60227,128,48,60227,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.21%,0,0,0,
 Lorena,,São Paulo,2,2,0,0,3227,254,50,3227,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.87%,0,0,0,
 Lucca Cardenette,,São Paulo,2,2,0,0,1474,76,2,1474,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.15%,0,0,0,
 Luck Biasi,,São Paulo,2,2,0,0,2261,105,82,2261,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.64%,0,0,0,
 Marcelo Campos,,São Paulo,2,2,0,0,394,14,88,394,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.56%,0,0,0,
 MC turtle,,São Paulo,2,2,0,0,6581,154,174,6581,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.34%,0,0,0,
 Nick Roger,,São Paulo,2,2,0,0,18186,99,170,18186,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.54%,0,0,0,
 Paloma Araújo,,São Paulo,2,2,0,0,2559,166,87,2559,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.49%,0,0,0,
 Pedro Castaldelli,,São Paulo,2,2,0,0,1011,22,128,1011,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.18%,0,0,0,
 Raísa Paula,,São Paulo,2,2,0,0,20365,243,104,20365,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.19%,0,0,0,
 Rapha Alvez,,São Paulo,2,2,0,0,14636,126,13,14636,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.86%,0,0,0,
 Raquel Awade,,São Paulo,2,2,0,0,15593,43,15,15593,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.28%,0,0,0,
 Roberta Helena,,São Paulo,2,2,0,0,645,13,34,645,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.02%,0,0,0,
 Rodrigo Vaisemberg,,São Paulo,2,2,0,0,43484,90,17,43484,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.21%,0,0,0,
 Samia Ribeiro,,São Paulo,6,6,0,0,1212,10,57,1212,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.82%,0,0,0,
 Sarah Sofhia,,São Paulo,10,10,0,0,5229,132,152,5229,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.52%,0,0,0,
 Thais Heubel,,São Paulo,2,2,0,0,1397,6,86,1397,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.43%,0,0,0,
 Tomim | Pollo,,São Paulo,2,2,0,0,3291,89,76,3291,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.70%,0,0,0,
 Álec Guímel,,São Paulo,6,6,0,0,6888,328,85,6888,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.76%,0,0,0,
 Aline Cybis,,São Paulo,2,2,0,0,654,97,161,654,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,14.83%,0,0,0,
 Amanda Stefanone,,São Paulo,6,6,0,0,3907,24,61,3907,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.61%,0,0,0,
 Anayê Maciel,,São Paulo,6,6,0,0,1834,64,58,1834,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.49%,0,0,0,
 Anderson Oliveira,,São Paulo,2,2,0,0,4302,20,99,4302,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.46%,0,0,0,
 Anna Arraes,,São Paulo,3,3,0,0,677,5,56,677,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.74%,0,0,0,
 Arthur Bicalho,,São Paulo,2,2,0,0,8224,30,78,8224,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.36%,0,0,0,
 Bárbara Tunes,,São Paulo,3,3,0,0,2430,231,108,2430,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,9.50%,0,0,0,
 Bibi Tatto,,São Paulo,2,2,0,0,430346,229,63,430346,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.05%,0,0,0,
 Brenda Duarte,,São Paulo,2,2,0,0,744,53,138,744,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.12%,0,0,0,
 Breno Marinho,,São Paulo,2,2,0,0,4911,146,73,4911,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.97%,0,0,0,
 Bruno Hazê,,São Paulo,2,2,0,0,5283,334,36,5283,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.32%,0,0,0,
 Bruno Magri,,São Paulo,2,2,0,0,90697,172,172,90697,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.19%,0,0,0,
 Bya Dantas Figueiredo,,São Paulo,2,2,0,0,674,9,1,674,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.34%,0,0,0,
 Caio,,São Paulo,1,1,0,0,415,5,117,415,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.20%,0,0,0,
 Camila Frúgoli,,São Paulo,1,1,0,0,373,24,22,373,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,6.44%,0,0,0,
 Camis Alvarenga,,São Paulo,1,1,0,0,1886,50,98,1886,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.65%,0,0,0,
 Carolina Tsuyami,,São Paulo,1,1,0,0,13839,337,84,13839,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.44%,0,0,0,
 Cinthia Cruz,,São Paulo,1,1,0,0,761445,27,122,761445,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.00%,0,0,0,
 Dai Azevedo,,São Paulo,1,1,0,0,1752,104,37,1752,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.93%,0,0,0,
 Daiane Gomez,,São Paulo,1,1,0,0,252,8,165,252,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.17%,0,0,0,
 DJ Emmie,,São Paulo,1,1,0,0,109,15,154,109,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,13.76%,0,0,0,
 Dj Theo,,São Paulo,2,2,0,0,750,20,102,750,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.67%,0,0,0,
 Ed Junior,,São Paulo,1,1,0,0,630,23,14,630,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.65%,0,0,0,
 Edu Malvadão,,São Paulo,1,1,0,0,2364,12,55,2364,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.51%,0,0,0,
 Fael,,São Paulo,1,1,0,0,2617,39,112,2617,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.49%,0,0,0,
 Gabi Damiano,,São Paulo,1,1,0,0,1511,63,45,1511,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.17%,0,0,0,
 Gabriel Rocha,,São Paulo,1,1,0,0,56671,257,83,56671,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.45%,0,0,0,
 Gagui Tatto,,São Paulo,1,1,0,0,450,2,44,450,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.44%,0,0,0,
 Gi Casares,,São Paulo,1,1,0,0,703,54,29,703,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.69%,0,0,0,
 Giovanna Collares,,São Paulo,1,1,0,0,11197,198,133,11197,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.77%,0,0,0,
 Gui Andrade,,São Paulo,1,1,0,0,1997,7,110,1997,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.35%,0,0,0,
 Gui Taschetti,,São Paulo,1,1,0,0,9345,148,20,9345,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.58%,0,0,0,
 Guilherme Bispo,,São Paulo,1,1,0,0,12203,322,175,12203,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.64%,0,0,0,
 Gustavo Nascimeto,,São Paulo,2,2,0,0,685,50,100,685,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.30%,0,0,0,
 Heey Cat,,São Paulo,1,1,0,0,103694,350,113,103694,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.34%,0,0,0,
 Helen Mendes,,São Paulo,1,1,0,0,439,16,19,439,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.64%,0,0,0,
 Hosana Menezes,,São Paulo,2,2,0,0,30881,62,32,30881,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.20%,0,0,0,
 Iago Lesser,,São Paulo,1,1,0,0,42918,349,10,42918,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.81%,0,0,0,
 Ingrid Loli,,São Paulo,1,1,0,0,3104,95,171,3104,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.06%,0,0,0,
 Isa Rodrigues,,São Paulo,1,1,0,0,9252,60,47,9252,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.65%,0,0,0,
 Isabella Donatto,,São Paulo,1,1,0,0,173,2,16,173,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.16%,0,0,0,
 Isadora Lara,,São Paulo,3,3,0,0,24726,112,114,24726,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.45%,0,0,0,
 Jessica Corrêa,,São Paulo,7,7,0,0,1423,19,106,1423,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.34%,0,0,0,
 João Folsta,,São Paulo,1,1,0,0,56900,224,148,56900,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.39%,0,0,0,
 Johnny,,São Paulo,1,1,0,0,21011,77,120,21011,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.37%,0,0,0,
 Joyce Bitencourt,,São Paulo,2,2,0,0,1619,138,71,1619,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,8.52%,0,0,0,
 Joyce Palmieri,,São Paulo,6,6,0,0,485,10,6,485,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.06%,0,0,0,
 Juliana Müller Cristofoleti,,São Paulo,2,2,0,0,1445,2,80,1445,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.14%,0,0,0,
 Karol Mello,,São Paulo,2,2,0,0,898,46,139,898,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.12%,0,0,0,
 Kauana Hofemã,,São Paulo,4,4,0,0,41419,268,75,41419,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.65%,0,0,0,
 Kymberly Monteiro,,São Paulo,2,2,0,0,35976,275,40,35976,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.76%,0,0,0,
 Leo Conceição,,São Paulo,1,1,0,0,5653,297,137,5653,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.25%,0,0,0,
 Loma Lisboa,,São Paulo,1,1,0,0,34290,147,118,34290,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.43%,0,0,0,
 Lorena,,São Paulo,3,3,0,0,1232,10,42,1232,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.81%,0,0,0,
 Lu Nogueira,,São Paulo,1,1,0,0,820,25,151,820,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.05%,0,0,0,
 Luana Chaves,,São Paulo,2,2,0,0,9772,292,107,9772,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.99%,0,0,0,
 Lucas Santarelli,,São Paulo,2,2,0,0,827,8,116,827,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.97%,0,0,0,
 Luck Biasi,,São Paulo,2,2,0,0,730,25,11,730,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.43%,0,0,0,
 Luís Gustavo,,São Paulo,4,4,0,0,3571,23,25,3571,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.64%,0,0,0,
 Marcela Andrade,,São Paulo,2,2,0,0,1100,25,23,1100,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.27%,0,0,0,
 Maria Venture,,São Paulo,1,1,0,0,57381,178,155,57381,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.31%,0,0,0,
 Mariana jUNHO,,São Paulo,1,1,0,0,5669,9,65,5669,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.16%,0,0,0,
 Mariela Ribeiro,,São Paulo,1,1,0,0,396,20,173,396,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.05%,0,0,0,
 Mario Henrique,,São Paulo,1,1,0,0,143728,51,31,143728,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.04%,0,0,0,
 Matheus Sicilia,,São Paulo,6,6,0,0,45222,15,142,45222,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.03%,0,0,0,
 Mayara Mattar,,São Paulo,1,1,0,0,1467,122,126,1467,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,8.32%,0,0,0,
 MC turtle,,São Paulo,1,1,0,0,4286,3,162,4286,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.07%,0,0,0,
 Mirelle Silvestre,,São Paulo,1,1,0,0,1149,60,115,1149,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.22%,0,0,0,
 Nick Roger,,São Paulo,1,1,0,0,37409,252,130,37409,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.67%,0,0,0,
 Nicolas Barone,,São Paulo,3,3,0,0,14042,331,166,14042,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.36%,0,0,0,
 Nicole Almozara,,São Paulo,2,2,0,0,9067,282,123,9067,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.11%,0,0,0,
 Olavo Junqueira,,São Paulo,2,2,0,0,544,23,9,544,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.23%,0,0,0,
 Pamella de Sousa,,São Paulo,1,1,0,0,390,13,68,390,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.34%,0,0,0,
 Partiu Bar,,São Paulo,2,2,0,0,13845,207,3,13845,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.50%,0,0,0,
 Patricia Campos,,São Paulo,1,1,0,0,2897,98,26,2897,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.38%,0,0,0,
 Rafael Devecz,,São Paulo,1,1,0,0,11680,42,160,11680,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.36%,0,0,0,
 Rafael Lopes,,São Paulo,2,2,0,0,435,15,30,435,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,3.45%,0,0,0,
 Raísa Paula,,São Paulo,1,1,0,0,14727,247,93,14727,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.68%,0,0,0,
 Roberta Helena,,São Paulo,1,1,0,0,525,13,164,525,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.48%,0,0,0,
 Ryan Oliveira,,São Paulo,1,1,0,0,4525,330,46,4525,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.29%,0,0,0,
 Sarina Nigri,,São Paulo,7,7,0,0,10901,277,127,10901,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,2.54%,0,0,0,
 Sarinha Leitão,,São Paulo,1,1,0,0,539,23,178,539,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,4.27%,0,0,0,
 Simone Siolin Sicilia,,São Paulo,3,3,0,0,1056,56,149,1056,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,5.30%,0,0,0,
 Talita Graziela,,São Paulo,1,1,0,0,22909,133,89,22909,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.58%,0,0,0,
 Thaiana Raad,,São Paulo,1,1,0,0,590,8,54,590,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.35%,0,0,0,
 Victória Diniz,,São Paulo,3,3,0,0,287614,80,18,287614,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.03%,0,0,0,
 Victoria Mezêncio,,São Paulo,2,2,0,0,7710,28,72,7710,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.36%,0,0,0,
 Vilhena,,São Paulo,1,1,0,0,144587,73,77,144587,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.05%,0,0,0,
 Vitor Comx,,São Paulo,1,1,0,0,4307,321,157,4307,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.45%,0,0,0,
 Vitória Martins,,São Paulo,3,3,0,0,1685,29,136,1685,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,1.72%,0,0,0,
 Waah,,São Paulo,1,1,0,0,36643,332,90,36643,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,0.91%,0,0,0,
 Wentz,,São Paulo,2,2,0,0,583,41,38,583,R$ 0.00,R$ 0.00,R$ 0.00,R$ 0.00,7.03%,0,0,0,
