Influencer,Username,Cidade,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
 Lucca Cardenette,,São Paulo,3,3,0,0,755,,,755,,,,,0.00%,,,,
 Maria Venture,,São Paulo,2,2,0,0,845368,,,"845,368",,,,,0.00%,,,,
 Marina Bardini,,São Paulo,2,2,0,0,1554,,,"1,554",,,,,0.00%,,,,
 Matheus Sicilia,,São Paulo,4,4,0,0,6360,,,"6,360",,,,,0.00%,,,,
 Maya Aniceto,,São Paulo,6,6,0,0,3852,,,"3,852",,,,,0.00%,,,,
 Mayara Pereira,,São Paulo,1,1,0,0,439,,,439,,,,,0.00%,,,,
 Milena Gomes,,São Paulo,1,1,0,0,862,,,862,,,,,0.00%,,,,
 Morccosa,,São Paulo,4,4,0,0,692,,,692,,,,,0.00%,,,,
 Murilox,,São Paulo,1,1,0,0,890,,,890,,,,,0.00%,,,,
 Nathália Do Val,,São Paulo,2,2,0,0,303,,,303,,,,,0.00%,,,,
 Nicole Limoli,,São Paulo,2,2,0,0,334,,,334,,,,,0.00%,,,,
 Pietro,,São Paulo,7,7,0,0,2574,,,"2,574",,,,,0.00%,,,,
 Rodrigo Vaisemberg,,São Paulo,8,8,0,0,24332,,,"24,332",,,,,0.00%,,,,
 Romulo deu Cria,,São Paulo,4,4,0,0,17902,,,"17,902",,,,,0.00%,,,,
 Ryan Oliveira,,São Paulo,2,2,0,0,1480,,,"1,480",,,,,0.00%,,,,
 Vitória Vinturini,,São Paulo,2,2,0,0,44,,,44,,,,,0.00%,,,,
 VKS Asuna,,São Paulo,7,7,0,0,1598,,,"1,598",,,,,0.00%,,,,
 Adalto Jr,,São Paulo,1,1,0,0,22913,,,"22,913",,,,,0.00%,,,,
 Ana Gabriela,,São Paulo,4,4,0,0,198472,,,"198,472",,,,,0.00%,,,,
 Anayê Maciel,,São Paulo,2,2,0,0,5121,,,"5,121",,,,,0.00%,,,,
 Andressa Alves,,São Paulo,1,1,0,0,9631,,,"9,631",,,,,0.00%,,,,
 Bárbara Tunes,,São Paulo,1,1,0,0,5266,,,"5,266",,,,,0.00%,,,,
 Camyla Xavier,,São Paulo,1,1,0,0,727,,,727,,,,,0.00%,,,,
 Dj Theo,,São Paulo,6,6,0,0,2719,,,"2,719",,,,,0.00%,,,,
 Faustino Marcelo,,São Paulo,1,1,0,0,6048,,,"6,048",,,,,0.00%,,,,
 Fernandinho BeatBox,,São Paulo,1,1,0,0,31151,,,"31,151",,,,,0.00%,,,,
 Gabi Lopes,,São Paulo,4,4,0,0,2931,,,"2,931",,,,,0.00%,,,,
 Gabriel Ximenez Trasatti,,São Paulo,3,3,0,0,4868,,,"4,868",,,,,0.00%,,,,
 Giulia Vincenzi,,São Paulo,2,2,0,0,25,,,25,,,,,0.00%,,,,
 GuiPrates | Tráfego Pago,,São Paulo,2,2,0,0,5871,,,"5,871",,,,,0.00%,,,,
 Iago Santos,,São Paulo,2,2,0,0,895,,,895,,,,,0.00%,,,,
 Isabella Donatto,,São Paulo,2,2,0,0,593,,,593,,,,,0.00%,,,,
 Jaqueline Bycie,,São Paulo,2,2,0,0,4949,,,"4,949",,,,,0.00%,,,,
 Joy Lima,,São Paulo,2,2,0,0,4032,,,"4,032",,,,,0.00%,,,,
 Júlia Vilaça,,São Paulo,2,2,0,0,39050,,,"39,050",,,,,0.00%,,,,
 Lenara Santos,,São Paulo,5,5,0,0,204,,,204,,,,,0.00%,,,,
 Lika,,São Paulo,2,2,0,0,3461,,,"3,461",,,,,0.00%,,,,
 Fael,,São Paulo,2,2,0,0,60227,,,"60,227",,,,,0.00%,,,,
 Lorena,,São Paulo,2,2,0,0,3227,,,"3,227",,,,,0.00%,,,,
 Lucca Cardenette,,São Paulo,2,2,0,0,1474,,,"1,474",,,,,0.00%,,,,
 Luck Biasi,,São Paulo,2,2,0,0,2261,,,"2,261",,,,,0.00%,,,,
 Marcelo Campos,,São Paulo,2,2,0,0,394,,,394,,,,,0.00%,,,,
 MC turtle,,São Paulo,2,2,0,0,6581,,,"6,581",,,,,0.00%,,,,
 Nick Roger,,São Paulo,2,2,0,0,18186,,,"18,186",,,,,0.00%,,,,
 Paloma Araújo,,São Paulo,2,2,0,0,2559,,,"2,559",,,,,0.00%,,,,
 Pedro Castaldelli,,São Paulo,2,2,0,0,1011,,,"1,011",,,,,0.00%,,,,
 Raísa Paula,,São Paulo,2,2,0,0,20365,,,"20,365",,,,,0.00%,,,,
 Rapha Alvez,,São Paulo,2,2,0,0,14636,,,"14,636",,,,,0.00%,,,,
 Raquel Awade,,São Paulo,2,2,0,0,15593,,,"15,593",,,,,0.00%,,,,
 Roberta Helena,,São Paulo,2,2,0,0,64,,,64,,,,,0.00%,,,,
 Rodrigo Vaisemberg,,São Paulo,2,2,0,0,43484,,,"43,484",,,,,0.00%,,,,
 Samia Ribeiro,,São Paulo,6,6,0,0,1212,,,"1,212",,,,,0.00%,,,,
 Sarah Sofhia,,São Paulo,10,10,0,0,5229,,,"5,229",,,,,0.00%,,,,
 Thais Heubel,,São Paulo,2,2,0,0,1397,,,"1,397",,,,,0.00%,,,,
 Tomim | Pollo,,São Paulo,2,2,0,0,3291,,,"3,291",,,,,0.00%,,,,
 Álec Guímel,,São Paulo,6,6,0,0,6888,,,"6,888",,,,,0.00%,,,,
 Aline Cybis,,São Paulo,2,2,0,0,6,,,6,,,,,0.00%,,,,
 Amanda Stefanone,,São Paulo,6,6,0,0,3907,,,"3,907",,,,,0.00%,,,,
 Anayê Maciel,,São Paulo,6,6,0,0,1834,,,"1,834",,,,,0.00%,,,,
 Anderson Oliveira,,São Paulo,2,2,0,0,4302,,,"4,302",,,,,0.00%,,,,
 Anna Arraes,,São Paulo,3,3,0,0,677,,,677,,,,,0.00%,,,,
 Arthur Bicalho,,São Paulo,2,2,0,0,8224,,,"8,224",,,,,0.00%,,,,
 Bárbara Tunes,,São Paulo,3,3,0,0,2430,,,"2,430",,,,,0.00%,,,,
 Bibi Tatto,,São Paulo,2,2,0,0,430346,,,"430,346",,,,,0.00%,,,,
 Brenda Duarte,,São Paulo,2,2,0,0,744,,,744,,,,,0.00%,,,,
 Breno Marinho,,São Paulo,2,2,0,0,4911,,,"4,911",,,,,0.00%,,,,
 Bruno Hazê,,São Paulo,2,2,0,0,5283,,,"5,283",,,,,0.00%,,,,
 Bruno Magri,,São Paulo,2,2,0,0,90697,,,"90,697",,,,,0.00%,,,,
 Bya Dantas Figueiredo,,São Paulo,2,2,0,0,674,,,674,,,,,0.00%,,,,
 Caio,,São Paulo,1,1,0,0,4,,,4,,,,,0.00%,,,,
 Camila Frúgoli,,São Paulo,1,1,0,0,373,,,373,,,,,0.00%,,,,
 Camis Alvarenga,,São Paulo,1,1,0,0,1886,,,"1,886",,,,,0.00%,,,,
 Carolina Tsuyami,,São Paulo,1,1,0,0,13839,,,"13,839",,,,,0.00%,,,,
 Cinthia Cruz,,São Paulo,1,1,0,0,761445,,,"761,445",,,,,0.00%,,,,
 Dai Azevedo,,São Paulo,1,1,0,0,1752,,,"1,752",,,,,0.00%,,,,
 Daiane Gomez,,São Paulo,1,1,0,0,24,,,24,,,,,0.00%,,,,
 DJ Emmie,,São Paulo,1,1,0,0,85,,,85,,,,,0.00%,,,,
 Dj Theo,,São Paulo,2,2,0,0,750,,,750,,,,,0.00%,,,,
 Ed Junior,,São Paulo,1,1,0,0,63,,,63,,,,,0.00%,,,,
 Edu Malvadão,,São Paulo,1,1,0,0,2364,,,"2,364",,,,,0.00%,,,,
 Fael,,São Paulo,1,1,0,0,2617,,,"2,617",,,,,0.00%,,,,
 Gabi Damiano,,São Paulo,1,1,0,0,1511,,,"1,511",,,,,0.00%,,,,
 Gabriel Rocha,,São Paulo,1,1,0,0,56671,,,"56,671",,,,,0.00%,,,,
 Gagui Tatto,,São Paulo,1,1,0,0,23,,,23,,,,,0.00%,,,,
 Gi Casares,,São Paulo,1,1,0,0,703,,,703,,,,,0.00%,,,,
 Giovanna Collares,,São Paulo,1,1,0,0,11197,,,"11,197",,,,,0.00%,,,,
 Gui Andrade,,São Paulo,1,1,0,0,1997,,,"1,997",,,,,0.00%,,,,
 Gui Taschetti,,São Paulo,1,1,0,0,9345,,,"9,345",,,,,0.00%,,,,
 Guilherme Bispo,,São Paulo,1,1,0,0,12203,,,"12,203",,,,,0.00%,,,,
 Gustavo Nascimeto,,São Paulo,2,2,0,0,685,,,685,,,,,0.00%,,,,
 Heey Cat,,São Paulo,1,1,0,0,103694,,,"103,694",,,,,0.00%,,,,
 Helen Mendes,,São Paulo,1,1,0,0,439,,,439,,,,,0.00%,,,,
 Hosana Menezes,,São Paulo,2,2,0,0,30881,,,"30,881",,,,,0.00%,,,,
 Iago Lesser,,São Paulo,1,1,0,0,42918,,,"42,918",,,,,0.00%,,,,
 Ingrid Loli,,São Paulo,1,1,0,0,3104,,,"3,104",,,,,0.00%,,,,
 Isa Rodrigues,,São Paulo,1,1,0,0,9252,,,"9,252",,,,,0.00%,,,,
 Isabella Donatto,,São Paulo,1,1,0,0,173,,,173,,,,,0.00%,,,,
 Isadora Lara,,São Paulo,3,3,0,0,24726,,,"24,726",,,,,0.00%,,,,
 Jessica Corrêa,,São Paulo,7,7,0,0,1423,,,"1,423",,,,,0.00%,,,,
 João Folsta,,São Paulo,1,1,0,0,56900,,,"56,900",,,,,0.00%,,,,
 Johnny,,São Paulo,1,1,0,0,21011,,,"21,011",,,,,0.00%,,,,
 Joyce Bitencourt,,São Paulo,2,2,0,0,1619,,,"1,619",,,,,0.00%,,,,
 Joyce Palmieri,,São Paulo,6,6,0,0,485,,,485,,,,,0.00%,,,,
 Juliana Müller Cristofoleti,,São Paulo,2,2,0,0,1445,,,"1,445",,,,,0.00%,,,,
 Karol Mello,,São Paulo,2,2,0,0,898,,,898,,,,,0.00%,,,,
 Kauana Hofemã,,São Paulo,4,4,0,0,41419,,,"41,419",,,,,0.00%,,,,
 Kymberly Monteiro,,São Paulo,2,2,0,0,35976,,,"35,976",,,,,0.00%,,,,
 Leo Conceição,,São Paulo,1,1,0,0,5653,,,"5,653",,,,,0.00%,,,,
 Loma Lisboa,,São Paulo,1,1,0,0,34290,,,"34,290",,,,,0.00%,,,,
 Lorena,,São Paulo,3,3,0,0,1232,,,"1,232",,,,,0.00%,,,,
 Lu Nogueira,,São Paulo,1,1,0,0,820,,,820,,,,,0.00%,,,,
 Luana Chaves,,São Paulo,2,2,0,0,9772,,,"9,772",,,,,0.00%,,,,
 Lucas Santarelli,,São Paulo,2,2,0,0,827,,,827,,,,,0.00%,,,,
 Luck Biasi,,São Paulo,2,2,0,0,730,,,730,,,,,0.00%,,,,
 Luís Gustavo,,São Paulo,4,4,0,0,3571,,,"3,571",,,,,0.00%,,,,
 Marcela Andrade,,São Paulo,2,2,0,0,110,,,110,,,,,0.00%,,,,
 Maria Venture,,São Paulo,1,1,0,0,57381,,,"57,381",,,,,0.00%,,,,
 Mariana jUNHO,,São Paulo,1,1,0,0,5669,,,"5,669",,,,,0.00%,,,,
 Mariela Ribeiro,,São Paulo,1,1,0,0,39,,,39,,,,,0.00%,,,,
 Mario Henrique,,São Paulo,1,1,0,0,143728,,,"143,728",,,,,0.00%,,,,
 Matheus Sicilia,,São Paulo,6,6,0,0,45222,,,"45,222",,,,,0.00%,,,,
 Mayara Mattar,,São Paulo,1,1,0,0,1467,,,"1,467",,,,,0.00%,,,,
 MC turtle,,São Paulo,1,1,0,0,4286,,,"4,286",,,,,0.00%,,,,
 Mirelle Silvestre,,São Paulo,1,1,0,0,1149,,,"1,149",,,,,0.00%,,,,
 Nick Roger,,São Paulo,1,1,0,0,37409,,,"37,409",,,,,0.00%,,,,
 Nicolas Barone,,São Paulo,3,3,0,0,14042,,,"14,042",,,,,0.00%,,,,
 Nicole Almozara,,São Paulo,2,2,0,0,9067,,,"9,067",,,,,0.00%,,,,
 Olavo Junqueira,,São Paulo,2,2,0,0,544,,,544,,,,,0.00%,,,,
 Pamella de Sousa,,São Paulo,1,1,0,0,390,,,390,,,,,0.00%,,,,
 Partiu Bar,,São Paulo,2,2,0,0,13845,,,"13,845",,,,,0.00%,,,,
 Patricia Campos,,São Paulo,1,1,0,0,2897,,,"2,897",,,,,0.00%,,,,
 Rafael Devecz,,São Paulo,1,1,0,0,11680,,,"11,680",,,,,0.00%,,,,
 Rafael Lopes,,São Paulo,2,2,0,0,435,,,435,,,,,0.00%,,,,
 Raísa Paula,,São Paulo,1,1,0,0,14727,,,"14,727",,,,,0.00%,,,,
 Roberta Helena,,São Paulo,1,1,0,0,525,,,525,,,,,0.00%,,,,
 Ryan Oliveira,,São Paulo,1,1,0,0,4525,,,"4,525",,,,,0.00%,,,,
 Sarina Nigri,,São Paulo,7,7,0,0,10901,,,"10,901",,,,,0.00%,,,,
 Sarinha Leitão,,São Paulo,1,1,0,0,539,,,539,,,,,0.00%,,,,
 Simone Siolin Sicilia,,São Paulo,3,3,0,0,1056,,,"1,056",,,,,0.00%,,,,
 Talita Graziela,,São Paulo,1,1,0,0,22909,,,"22,909",,,,,0.00%,,,,
 Thaiana Raad,,São Paulo,1,1,0,0,590,,,590,,,,,0.00%,,,,
 Victória Diniz,,São Paulo,3,3,0,0,287614,,,"287,614",,,,,0.00%,,,,
 Victoria Mezêncio,,São Paulo,2,2,0,0,7710,,,"7,710",,,,,0.00%,,,,
 Vilhena,,São Paulo,1,1,0,0,144587,,,"144,587",,,,,0.00%,,,,
 Vitor Comx,,São Paulo,1,1,0,0,4307,,,"4,307",,,,,0.00%,,,,
 Vitória Martins,,São Paulo,3,3,0,0,1685,,,"1,685",,,,,0.00%,,,,
 Waah,,São Paulo,1,1,0,0,36643,,,"36,643",,,,,0.00%,,,,
 Wentz,,São Paulo,2,2,0,0,583,,,583,,,,,0.00%,,,,
 Will Costa,,São Paulo,1,1,0,0,241,,,241,,,,,0.00%,,,,
 Yasmin Prearo,,São Paulo,1,1,0,0,452,,,452,,,,,0.00%,,,,
 Yung Jei,,São Paulo,2,2,0,0,3709,,,"3,709",,,,,0.00%,,,,
